yr_built,bedrooms,bathrooms,sqft_living,waterfront,view,condition,grade,price
1955,3,1,1180,0,0,3,7,221900
1951,3,2.25,2570,0,0,3,7,538000
1933,2,1,770,0,0,3,6,180000
1965,4,3,1960,0,0,5,7,604000
1987,3,2,1680,0,0,3,8,510000
2001,4,4.5,5420,0,0,3,11,1.23E+06
1995,3,2.25,1715,0,0,3,7,257500
1963,3,1.5,1060,0,0,3,7,291850
1960,3,1,1780,0,0,3,7,229500
2003,3,2.5,1890,0,0,3,7,323000
1965,3,2.5,3560,0,0,3,8,662500
1942,2,1,1160,0,0,4,7,468000
1927,3,1,1430,0,0,4,7,310000
1977,3,1.75,1370,0,0,4,7,400000
1900,5,2,1810,0,0,3,7,530000
1979,4,3,2950,0,3,3,9,650000
1994,3,2,1890,0,0,3,7,395000
1916,4,1,1600,0,0,4,7,485000
1921,2,1,1200,0,0,4,7,189000
1969,3,1,1250,0,0,4,7,230000
1947,4,1.75,1620,0,0,4,7,385000
1968,3,2.75,3050,0,4,3,9,2.00E+06
1995,5,2.5,2270,0,0,3,8,285000
1985,2,1.5,1070,0,0,3,7,252700
1985,3,2.25,2450,0,0,4,8,329000
1941,3,2,1710,0,0,5,6,233000
1915,3,1.75,2450,0,0,3,8,937000
1909,3,1,1400,0,0,5,8,667000
1948,3,1.75,1520,0,0,3,7,438000
2005,4,2.5,2570,0,0,3,8,719000
2003,3,2.5,2320,0,0,3,8,580500
2005,2,1.5,1190,0,0,3,7,280000
1929,4,1.75,2330,0,0,4,7,687500
1929,3,1,1090,0,0,4,8,535000
1981,4,2.75,2060,0,0,3,7,322500
1930,3,2.5,2300,0,0,3,8,696000
1933,4,1,1660,0,0,1,5,550000
1904,4,2,2360,0,0,4,8,640000
1969,4,1,1220,0,0,2,7,240000
1996,4,2.5,2620,0,0,3,8,605000
2000,4,2.5,2570,0,0,3,9,625000
1984,4,2.25,4220,0,0,3,8,775000
2014,5,2.75,3595,0,0,3,9,861990
1922,3,1,1570,0,0,3,7,685000
1959,3,1,1280,0,0,4,6,309000
2003,3,2.5,3160,0,0,3,8,488000
1966,3,1,990,0,0,3,6,210490
1981,4,2.5,2290,0,0,4,9,785000
